,Velocity
948,941.7253436064141
949,944.3240230323178
950,946.922679861174
951,949.5213140932236
952,952.119925728639
953,954.7185147676267
954,957.3170812103936
955,959.9156250571459
956,962.5141463080561
957,965.1126449633306
958,967.7111210231416
959,970.3095744876957
960,972.9080053571998
961,975.50641363186
962,978.1047993118489
963,980.7031623974073
964,983.3015028886729
965,985.8998207858867
966,988.4981160892211
967,991.0963887988823
968,993.6946389150772
969,996.2928664379776
970,998.8910713677905
971,1001.489253704722
972,1004.0874134489447
973,1006.6855506006648
974,1009.2836651600888
975,1011.8817571274237
976,1014.4798265028411
977,1017.0778732865477
978,1019.6758974787502
979,1022.2738990796207
980,1024.8718780893655
981,1027.4698345081913
982,1030.0677683363044
983,1032.6656795738772
984,1035.2635682211162
985,1037.8614342781932
986,1040.4592777453495
987,1043.0570986227567
988,1045.6548969106216
989,1048.2526726091164
990,1050.8504257184475
991,1053.4481562388212
992,1056.0458641704442
993,1058.6435495134886
994,1061.2412122681606
995,1063.838852434667
996,1066.4364700131794
997,1069.0340650039047
998,1071.6316374070493
999,1074.2291872228195
1000,1076.8267144513875
1001,1079.4242190929597
1002,1082.0217011477425
1003,1084.619160615908
1004,1087.2165974976626
1005,1089.8140117932126
1006,1092.4114035027303
1007,1095.0087726264564
1008,1097.606119164563
1009,1100.2034431172222
1010,1102.8007444846744
1011,1105.398023267092
1012,1107.995279464647
1013,1110.59251307758
1014,1113.189724106063
1015,1115.7869125503028
1016,1118.3840784105053
1017,1120.981221686843
1018,1123.5783423795215
1019,1126.175440488748
1020,1128.7725160146942
1021,1131.3695689575663
1022,1133.966599317571
1023,1136.5636070949145
1024,1139.1605922897688
1025,1141.7575549023402
1026,1144.354494932835
1027,1146.9514123814256
1028,1149.5483072483178
1029,1152.145179533718
1030,1154.7420292377985
1031,1157.3388563607998
1032,1159.9356609028941
1033,1162.5324428642532
1034,1165.1292022451178
1035,1167.7259390456597
1036,1170.322653266051
1037,1172.9193449065324
1038,1175.5160139672757
1039,1178.1126604484875
1040,1180.7092843503738
1041,1183.3058856731068
1042,1185.9024644168926
1043,1188.4990205819379
1044,1191.0955541684139
1045,1193.6920651765272
1046,1196.2885536064844
1047,1198.8850194584916
1048,1201.4814627327207
1049,1204.0778834293778
1050,1206.6742815486693
1051,1209.2706570907671
1052,1211.867010055912
1053,1214.4633404442413
1054,1217.0596482559956
1055,1219.655933491347
1056,1222.252196150502
1057,1224.848436233666
1058,1227.4446537410115
1059,1230.040848672779
1060,1232.637021029106
1061,1235.233170810233
1062,1237.8292980163321
1063,1240.4254026476096
1064,1243.021484704271
1065,1245.617544186489
1066,1248.2135810944694
1067,1250.8095954284186
1068,1253.4055871885423
1069,1256.0015563750133
1070,1258.597502988037
1071,1261.1934270277852
1072,1263.7893284944992
1073,1266.3852073883502
1074,1268.9810637095447
1075,1271.576897458254
1076,1274.172708634685
1077,1276.7684972390434
1078,1279.3642632715357
1079,1281.9600067323336
1080,1284.555727621643
1081,1287.1514259396704
1082,1289.7471016866216
1083,1292.342754862669
1084,1294.938385468018
1085,1297.533993502841
1086,1300.1295789673782
1087,1302.7251418618014
1088,1305.3206821863168
1089,1307.9161999410967
1090,1310.511695126346
1091,1313.107167742272
1092,1315.7026177890803
1093,1318.2980452669428
1094,1320.8934501760652
1095,1323.4888325166544
1096,1326.0841922888815
1097,1328.6795294929873
1098,1331.274844129109
1099,1333.870136197487
1100,1336.4654056982936
1101,1339.0606526317342
1102,1341.6558769980152
1103,1344.2510787973429
1104,1346.8462580298885
1105,1349.4414146958586
1106,1352.0365487954246
1107,1354.6316603288271
1108,1357.2267492962378
1109,1359.8218156978282
1110,1362.416859533839
1111,1365.0118808044415
1112,1367.6068795098424
1113,1370.2018556502128
1114,1372.7968092257934
1115,1375.391740236756
1116,1377.9866486832723
1117,1380.5815345655822
1118,1383.1763978838578
1119,1385.7712386383048
1120,1388.3660568291298
1121,1390.960852456504
1122,1393.5556255206336
1123,1396.1503760217247
1124,1398.7451039599484
1125,1401.3398093355115
1126,1403.9344921486197
1127,1406.529152399479
1128,1409.1237900882609
1129,1411.7184052151715
1130,1414.3129977804172
1131,1416.9075677841688
1132,1419.502115226633
1133,1422.0966401080154
1134,1424.6911424285222
1135,1427.2856221883249
1136,1429.8800793876296
1137,1432.474514026642
1138,1435.0689261055343
1139,1437.6633156245118
1140,1440.2576825837805
1141,1442.852026983547
1142,1445.4463488239821
1143,1448.0406481052923
1144,1450.6349248276833
1145,1453.2291789913613
1146,1455.8234105964978
1147,1458.4176196432984
1148,1461.0118061319351
1149,1463.6059700626138
1150,1466.2001114355744
1151,1468.7942302509546
1152,1471.3883265089942
1153,1473.9824002098649
1154,1476.576451353773
1155,1479.1704799408897
1156,1481.7644859714555
1157,1484.3584694456415
1158,1486.952430363654
1159,1489.5463687256645
1160,1492.1402845318787
1161,1494.7341777825027
1162,1497.328048477742
1163,1499.9218966177689
1164,1502.5157222027885
1165,1505.109525233007
1166,1507.703305708596
1167,1510.2970636297955
1168,1512.8907989967774
1169,1515.4845118097128
1170,1518.0782020688418
